#title:My Music;type:csv
artist,song,links
Nahko And Medicine For The People,Budding Trees,youtube:7kPzCKbVAck
Nat King Cole,Nature Boy,youtube:ZpF1J9FnD4E
Natasha Bedingfield,Unwritten,youtube:b7k0a5hYnSI
Nathaniel Rateliff,I Need Never Get Old,youtube:-2hxU4UG3dA
Neil Diamond,Holly Holy,youtube:qoNTEWRsFk4
Neil Diamond,I Am I Said,
Nelly Furtado,I'm Like A Bird
NENA,99 Luftballons,youtube:TMSlTQmDLx4
Newen Afrobeat,Opposite People
Ohio Players,Love Rollercoaster,
Otava Yo,Groove,youtube:YbBU06irWT8
Pachelbel,Canon in D,
Parliament,Atomic Dog,
Parliament,Flashlight,
Parliament,Mothership Connection,
Parliament,One Nation Under a Groove,
Paul Simon,50 Ways to Leave Your Lover
Paul Simon,Diamonds On The Soles Of Her Shoes,
Paul Simon,Me and Julio Down by the Schoolyard,
Paul Simon,You Can Call Me Al,
Penguin Cafe Orchestra,
Peter Gabriel,Big Time,youtube:PBAl9cchQac
Peter Gabriel,Here Comes the Flood,youtube:3C23LikPhWs
Peter Gabriel,In Your Eyes
Peter Gabriel,Sledghammer,
Peter Gabriel,Solsbury Hill,
Peter Gabriel,Steam,
Phil Collins,In the Air Tonight,
Pink Floyd,Shine On You Crazy Diamond,youtube:54W8kktFE_o
Pixies,Where Is My Mind,
Postmodern Jukebox,Dream On,
Primus,Mr Krinkle,
Primus,Over The Falls,
Prince,1999,youtube:UWC4X_rTRsA
Prince,Kiss,
Prince,Purple Rain,
Prince,Raspberry Beret,
Queen,Bohemian Rhapsody,
Queen,Don't Stop Me Now,
Queen,Fat Bottom Girls,
Queen,I Want to Break Free,
Queen,Keep Yourself Alive,
Queen,Somebody To Love,
Queen,Under Pressure,
Ray Stevens,Everything is Beautiful,
Redbone,Come And Get Your Love,
REM,Shiny Happy People,
REM,Strange Currencies,
Resistance Revival Chorus,Everybody Deserves to Be Free,
Resistance Revival Chorus,This Joy,
RHCP,Behind the Sun,youtube:sHuMi-cH0Uo
Rob Thomas,Someday,youtube:H6pODq8_FxE
Rod Stewart,Faith of the Heart,youtube:xxB349lLgPo
Rush,Closer to the Heart,
Rusted Root,Send Me On My Way,youtube:IGMabBGydC0
Sade,Feel No Pain,
Sade,Mermaid,
Sade,The Sweetest Taboo,
Sam & Dave,Hold On I'm Comin',
Sam & Dave,Soul Man,
Santana,Taboo,youtube:ZvzcOCLmHoM
Sara Bareilles,Brave,
Sarah Vaughan,Smooth Operator,youtube:l-ODUKHFVo0
Scary Pockets,Walk This Way,
Shaolin Afronauts,Flight Of The Ancient,youtube:mVphcpIoTpc
Sierra Ferrell,I Could Drive You Crazy
Sinéad O'Connor,Foggy Dew,
Sinéad O'Connor,Nothing Compares 2 U,
Sister Sledge,We Are Family,
Sly & The Family Stone,Everyday People
Sly & The Family Stone,Thank You,
Smash Mouth,Walkin on the Sun,
Small Faces,Itchycoo Park,
Spacehog,In The Meantime,youtube:PCsGRCf8T9Y
Steely Dan,Aja,
Steam Powered Giraffe,Intertwined,youtube:xfoi_RCY2_Y
Stevie Wonder,As,
Stevie Wonder,Sir Duke,youtube:EnNgASBdCeo
The Animals,Don't Let Me Be Misunderstood,youtube:YMDrTMnm1IE
The Avalanches,Since I Left You
The B-52's,Debbie,youtube:rSEMjZ6YqGI
The B-52's,Good Stuff,
The B-52's,Love Shack,
The B-52's,Roam,
The B-52's,Rock Lobster,
The Band,The Weight,
The Beatles,Hey Jude,
The Cranberries,Linger
The Cure,Friday I'm In Love
The Darkness,I Believe In A Thing Called Love,youtube:tlq-Le7V18Q
The Doobie Brothers,Black Water,youtube:RsP3rFJJk1Y
The Flaming Lips,She Don't Use Jelly
The Guess Who,Share The Land
The Headhunters,God Make Me Funky,youtube:C8hi3ZnhFac
